id,name,neighbourhood_cleansed,latitude,longitude,price,security_deposit,cleaning_fee,extra_people,guests_included,property_type,room_type,accommodates,bathrooms,bedrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,availability_365,host_id,host_is_superhost,host_identity_verified,is_superhost
11508,Amazing Luxurious Apt-Palermo Soho,Palermo,-34.58184,-58.42415,3983.0,0.0,3319.0,0.0,1,Condominium,Entire home/apt,2,1.0,1.0,1.0,26,0.27,95.0,10.0,365,42762,True,True,0.0
12463,Room in Recoleta - awesome location,Recoleta,-34.59761,-58.39468,1593.0,,,0.0,1,Apartment,Private room,1,1.0,1.0,1.0,20,0.16,95.0,10.0,365,48799,False,True,0.0
13095,Standard Room at Palermo Viejo B&B,Palermo,-34.59382,-58.42994,2987.0,,,0.0,1,Bed and breakfast,Private room,2,1.0,1.0,1.0,1,0.06,100.0,10.0,365,50994,False,False,0.0
13096,Standard Room in Palermo Viejo B&B,Palermo,-34.59398,-58.42853,2987.0,19914.0,1328.0,0.0,1,Bed and breakfast,Private room,2,1.0,1.0,2.0,0,0.0,,,365,50994,False,False,0.0
13097,Standard Room at Palermo Viejo B&B,Palermo,-34.59348,-58.42949,2987.0,,,996.0,1,Bed and breakfast,Private room,2,1.0,1.0,2.0,66,1.89,99.0,10.0,365,50994,False,False,0.0
13099,Lofty room in Palermo Viejo B&B,Palermo,-34.59362,-58.42984,3983.0,,,996.0,2,Bed and breakfast,Private room,3,1.0,1.0,3.0,0,0.0,,,365,50994,False,False,0.0
13100,Master Room in Palermo Viejo B&B,Palermo,-34.59288,-58.4301,4647.0,,,996.0,2,Bed and breakfast,Private room,4,1.0,1.0,3.0,1,0.03,80.0,10.0,365,50994,False,False,0.0
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",Palermo,-34.58777,-58.41106,2522.0,25004.0,1437.0,1078.0,2,Apartment,Entire home/apt,3,1.0,1.0,1.0,90,0.95,96.0,10.0,363,55825,False,True,0.0
14711,SPECTACULAR ANCIENT HOUSE,Monserrat,-34.60913,-58.37372,7965.0,,,0.0,1,Other,Entire home/apt,3,,,,0,0.0,,,365,57770,False,False,0.0
15074,ROOM WITH RIVER SIGHT,Nuñez,-34.53724,-58.4658,1991.0,,,0.0,1,Apartment,Private room,1,1.0,1.0,1.0,0,0.0,,,365,59338,False,False,0.0
15889,ROOM W /BALCONY-DOWNTOWN ......,Balvanera,-34.6029,-58.4114,2323.0,19914.0,1328.0,1659.0,1,Apartment,Private room,1,1.0,1.0,1.0,6,0.06,95.0,9.0,365,62183,False,False,0.0
16695,DUPLEX LOFT 2 - SAN TELMO,Monserrat,-34.61439,-58.37611,4315.0,0.0,664.0,0.0,2,Loft,Entire home/apt,4,1.0,1.0,1.0,46,0.41,86.0,9.0,364,64880,False,False,0.0
16696,Duplex Loft en Microcentro Porteño,Monserrat,-34.61494,-58.37517,3319.0,0.0,664.0,0.0,1,Loft,Entire home/apt,3,1.0,1.0,2.0,52,0.45,89.0,9.0,365,64880,False,False,0.0
16697,Small Duplex Loft in San Telmo (8),Monserrat,-34.61494,-58.37517,2987.0,0.0,664.0,0.0,2,Loft,Entire home/apt,2,1.0,1.0,0.0,22,0.2,85.0,9.0,365,64880,False,False,0.0
17451,A terrace in Buenos Aires,Belgrano,-34.55811,-58.46462,2257.0,9957.0,1328.0,996.0,1,House,Private room,2,,1.0,1.0,0,0.0,,,87,67732,False,False,0.0
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,San Nicolas,-34.60175,-58.3786,2987.0,13276.0,2323.0,332.0,2,Apartment,Entire home/apt,3,1.0,1.0,2.0,7,0.07,100.0,10.0,365,68689,False,False,0.0
18007,apartament in San Telmo,Monserrat,-34.6154,-58.3778,23233.0,,,0.0,1,Apartment,Entire home/apt,2,,,2.0,0,0.0,,,365,69404,False,False,0.0
18061,"Quirky, sunny & spacious - 5 px max",San Telmo,-34.61986,-58.36947,2987.0,9957.0,2589.0,332.0,3,Loft,Entire home/apt,4,1.0,2.0,4.0,144,1.18,93.0,9.0,207,69605,False,False,0.0
19583,"Studio in Recoleta , for two people.",Recoleta,-34.59593,-58.39257,2257.0,,1659.0,0.0,2,Apartment,Entire home/apt,2,1.0,0.0,1.0,200,1.83,97.0,10.0,365,74263,True,True,0.0
20062,PENTHOUSE / best city views !! terrace & pool,Palermo,-34.58183,-58.44143,5974.0,9957.0,4647.0,465.0,2,Apartment,Entire home/apt,4,1.5,2.0,2.0,222,1.83,98.0,10.0,233,75891,True,True,0.0
20429,Hermoso  y acogedor departamento.,Constitucion,-34.62108,-58.38677,2323.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,89,77065,False,False,0.0
21807,Comfortable apartment in San Telmo,San Telmo,-34.62225,-58.37239,3319.0,6638.0,3319.0,0.0,3,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,365,83312,False,False,0.0
21816,Apartment at Faena Hotel,Puerto Madero,-34.61407,-58.36187,11948.0,33189.0,3983.0,0.0,2,Condominium,Entire home/apt,4,1.5,1.0,3.0,0,0.0,,,178,83130,False,True,0.0
21837,Comfortable studio in Callao Avenue,Monserrat,-34.60807,-58.37224,3983.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,2.0,0,0.0,,,365,80208,False,False,0.0
23798,"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",Monserrat,-34.61495,-58.37319,3186.0,8208.0,2462.0,1231.0,2,Loft,Entire home/apt,4,1.0,2.0,4.0,48,0.49,98.0,10.0,65,94615,True,True,0.0
24713,"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",San Nicolas,-34.60254,-58.37811,1991.0,9957.0,664.0,332.0,2,Apartment,Entire home/apt,4,1.0,2.0,3.0,344,3.98,93.0,10.0,312,100743,False,False,0.0
24763,Amazing LOFTpalermo: contemporary and cool,Chacarita,-34.58681,-58.44476,3916.0,36509.0,5974.0,0.0,1,Loft,Entire home/apt,2,1.0,1.0,1.0,32,0.29,94.0,9.0,89,101049,False,True,0.0
25876,Stylish & Comfortable Apartment,San Nicolas,-34.59999,-58.37851,2655.0,0.0,996.0,996.0,2,Apartment,Entire home/apt,4,1.0,1.0,3.0,232,2.01,95.0,10.0,298,108864,True,False,0.0
26258,Huge 473sqf Studio @ Palermo University area,Balvanera,-34.5991,-58.41053,2323.0,26552.0,2655.0,332.0,1,Apartment,Entire home/apt,4,1.5,1.0,2.0,2,0.02,70.0,10.0,362,111013,False,False,0.0
26757,"Sunny Terrace, Cozy Loft, Sleeps 4 in San Telmo",San Telmo,-34.62092,-58.36842,2987.0,0.0,1991.0,0.0,2,Apartment,Entire home/apt,4,1.0,2.0,2.0,82,0.7,97.0,9.0,170,97165,False,True,0.0
26839,Studio in retiro neighborhood,Retiro,-34.59395,-58.37938,2655.0,0.0,996.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,266,114411,False,True,0.0
27562,Modern & comfortable apartment at best location,Palermo,-34.58095,-58.40461,3983.0,33190.0,1659.0,0.0,2,Apartment,Entire home/apt,2,1.0,1.0,0.0,23,0.21,99.0,10.0,148,119120,True,False,0.0
