listing_id,id,date,reviewer_id,reviewer_name,comments,tema_principal,sentimiento,sentimiento_etiqueta
11845450,546280811,2019-10-13,41469596,Joel,"Great appartment, clean and well equipped in a perfect location in San telmo! And of course, an excellent host!",Limpieza,0.7916666666666667,Positivo ✅
31855093,414408094,2019-02-19,48733847,Emmanuelle,"Nous avons été ravis de notre séjour dans cet appartement, la chambre au top, super propre et belle deco,  super cuisine, une machine à laver , très bon emplacement ! Et la gentillesse de Valentin incomparable ! Safe et super quartier ! Nous serions restés plus si nous avions plus de temps !",Instalaciones,0.4618055555555555,Positivo ✅
25428852,346348831,2018-11-08,155884204,Denis,The host canceled this reservation 2 days before arrival. This is an automated posting.,Atención,0.0,Neutral ⚪
7651171,61362647,2016-02-03,8224626,James,"Wonderful cozy apartment in Almagro. It had everything I needed, nice fast Internet and excellent AC. I would highly recommend! Mauro was a very gracious host.",Atención,0.42857142857142855,Positivo ✅
414655,356210630,2018-12-07,117626465,Emiliano,"Buen lugar, excelente ubicacion, Judith muy atenta siempre, espero volver!",Instalaciones,0.0,Neutral ⚪
29428955,592986844,2020-01-14,23992058,Joe,Sebastian’s loft is in a great location in the heart of Recoleta. It’s a safe and beautiful atmosphere with a pool overlooking the city. We were met by Sebastian’s wife who helped us get set up and provided us with tips on things to do. Everything was easy to get to and the loft was great.,Ubicación,0.6766666666666665,Positivo ✅
1598070,60696009,2016-01-26,51300169,Rosie,"Perfect location for public transport and a gorgeous terrace that catches lots of sun. Patricia went the extra mile to ensure I was comfortable, even buying tea bags for me as I am english! I will be back next time I visit.",Ubicación,0.2625,Positivo ✅
22061289,350501300,2018-11-19,97787251,Carolina,"No pude conocer a Oscar personalmente, pero por wasap siempre estuvo en contacto y fue muy amable. Estuvo pendiente de lo que hacia y recomendaciones A1",Atención,0.0,Neutral ⚪
30174674,441107004,2019-04-21,208085629,Consuelo,"Impecable el departamento, muy completo y los anfitriones excelentes. Lo recomiendo!!",Atención,0.0,Neutral ⚪
29816317,584671812,2019-12-30,3235646,Ricardo,"Great apartment. It’s in an old building, but it’s newly renovated and clean. Walking distance to Porto Madero and microcentro. The pics corresponded to the reality, and the host was very available and easy to communicate. Would stay here again.",Limpieza,0.39272727272727276,Positivo ✅
32279620,569077610,2019-11-25,156213513,Ninoska,100% recomendado. Es precioso y super bien ubicado!!!,Precio/Calidad,0.6510416666666665,Positivo ✅
33115898,442838790,2019-04-24,37311898,Violaine,"Daniel welcomed my boyfriend, my brother and myself warmly, we really appreciated it. The apartment is totally new and confortable, and it was perfectly cleaned. It is also well furnished and well located. We strongly recommend Daniel’s apartment.",Limpieza,0.44242424242424244,Positivo ✅
29796278,497451409,2019-07-28,223383452,Alejandro,"El dpto es cómodo, para 1 o 2 personas, está muy bien ubicado con todo cerca.  En invierno es cálido y luminoso porque da todo el sol durante la mañana y medio día ayudado por el aire acond. frio/calor. Los vecinos son bastante tranquilos respecto de los ruidos aunque los camiones del Ceanse molestan bastante durante la noche pero es un problema gral de la zona y no del dpto, quizás un doble vidrio ayudaría. El dpto es lindo, para un dos ambientes pequeño y esta bien equipado. Las terminaciones del edificio son de baja calidad en gral.",Ubicación,0.0,Neutral ⚪
